stonk,shortRatio,entToRev,profitMargin,enterpriseToEbitda,revenueQuarterlyGrowth,sharesShortPreviousMonthDate,enterpriseValue,sharesShort,fiftyTwoWeekLow,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,labels
NEW,0.25,0.0,-0.02372,0.0,0,1611878400,518442240,166015,3.62,9.414952505202521,8.127842100043045,6.332045468417081,4.5064761865706675,6.790700030326843,6.273636341094971,9.585681828585537,10.809857186816988,9.899047715323311,8.741136355833573,7.801999950408936,7.1390909064899795,1
CAT,1.81,3.686,0.07181,21.098,0,1611878400,153887588352,6111931,88.5,140.3839358917781,131.77038425415319,107.28710763944918,115.53340754214196,111.53284170088673,126.27975433912876,133.33280137459104,138.83169793575635,149.50225875641902,160.256862951628,171.26279393281553,179.28294044207382,3
MGM,1.3,8.147,-0.21003,-52.797,0,1611878400,40061751296,13404155,5.9,32.63005330106684,31.072405272337573,16.269205964414915,14.629819789719555,15.816612279182511,19.594582168254874,16.814801400256023,21.236291556987346,23.03512786714843,21.801082955671195,25.810362603146142,30.913085771686017,1
DIS,1.73,6.799,-0.08153,63.426,0,1611878400,413091430400,23243654,79.07,143.9338080996559,138.55947434274773,105.10409095070578,104.23523748488654,112.80400047302246,119.09409124200994,117.98318099975586,130.46857198079428,131.18238140287855,125.76318220658736,140.65650024414063,168.803635337136,-1
SLV,0.0,0.0,0.0,0.0,0,0,0,0,10.86,16.866666702997115,16.79105271791157,14.147272673520176,14.188095229012626,15.280500173568726,16.650454434481535,19.44818184592507,25.542857033865793,24.33333324250721,22.765454639088023,22.578000164031984,23.47500012137673,2
SAM,4.95,7.547,0.11055,40.633,0,1611878400,13105440768,614235,290.02,380.8309544154576,398.08578812448604,359.6250013871626,418.9123811267671,511.5705001831055,550.0709089799361,677.5790876908736,858.9123825799851,875.5585675920759,971.9204545454545,981.380502319336,975.9718184037642,-1
BAM,4.72,4.652,-0.00211,18.622,0,1611878400,295216709632,14219029,21.573334,39.8306216541866,42.83561092816567,33.424092734074065,32.70963043963777,31.91026020059465,34.490034403162106,33.65645834924279,33.65847856516307,33.35239107687035,33.6918763557536,38.0442797379496,41.34125759889617,-1
LOW,2.19,1.634,0.065120004,13.025,0,1611878400,146418057216,8276560,60.0,119.15905529758629,120.10164175627985,90.58449070247691,95.03624909977668,116.26823400181006,131.35572959056432,142.29275691756445,158.50852574403524,163.28762334294365,171.31835310418845,159.92450307638904,160.2260340235027,3
DBE,0.0,0.0,0.0,0.0,0,0,0,0,7.0,14.004285585312616,12.50263163917943,9.422272725538773,8.168095270792643,8.220500040054322,9.311818166212602,9.670454675501043,10.146666572207497,9.657142911638532,9.552272753282027,9.78250002861023,10.67909084666859,2
MSM,4.32,1.78,0.07137,13.042,0,1611878400,5590947328,1803346,44.93,66.05045452401659,64.71872799405487,51.75357839221931,55.29167564329121,59.48566577329787,67.64790308857485,64.64112148431597,63.662121409478786,61.18242970027933,62.97442686376059,78.12691637939105,84.71327503470108,1
ANY,0.14,8.361,-1.50831,-6.304,0,1611878400,32684402,239817,0.33,0.8391904717399961,0.8524736824788546,0.6339545439590107,0.8677142858505249,1.8662500113248826,2.7552272839979692,3.5936363610354336,2.985761897904532,2.6423333485921225,1.9848181767897173,1.502150011062622,1.6297272714701565,-1
JPM,1.87,-1.507,0.28542,0.0,0,1611878400,-153852264448,23256676,76.91,132.43726886652408,130.2640764499509,96.57119006987064,91.8059540736449,90.7780908714487,99.83756735307392,96.26056043045395,99.33338481155735,98.07047480968396,100.27532762768406,113.79398633148432,122.26042331353528,-1
FOR,3.67,1.555,0.06645,18.187,0,1611878400,1542224256,348769,9.43,21.328571410406205,20.793684407284385,14.690909082239324,12.25952384585426,14.184000062942506,15.77045453678478,16.27000011097301,18.33095241728283,18.485714412870863,18.320909066633746,19.295500087738038,20.445454597473145,1
PPT,0.28,17.375,-0.78732,0.0,0,1611878400,515985504,83030,3.5,5.036219390447467,5.031784455343604,4.237498390535689,4.186234937045457,4.4427386888320015,4.7129416056023095,4.471194560288624,4.5213845654122125,4.374955165938762,4.3986826076493095,4.504118568147839,4.556094173867401,1
API,1.77,45.18,-0.02331,-8254.95,0,1611878400,6034369024,4586340,33.6,52.594000498453774,50.52977249839089,44.247095198858354,50.90828632173084,44.35190929066051,40.13469982147217,43.06272714788263,0.0,0.0,0.0,0.0,0.0,-1
TOP,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06071428582072258,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,0.061000000685453415,2
CCJ,1.87,0.0,-0.02954,0.0,0,1611878400,6841908736,13505594,5.3,8.777406265038751,8.956897300704382,7.271037692841525,9.50917231123856,10.496038608881552,10.370931510717707,11.298053178081274,10.739353254195137,10.825499173510318,9.675138383332033,9.8769760465851,12.934090917760676,1
ATH,3.73,0.113,0.10438,0.0,0,1611878400,1664523392,4363514,13.37,46.51071421305338,47.25789461637798,29.493863625959918,25.823809487479075,27.076650142669678,33.37000005895441,32.8344087600708,36.602761949811665,35.89819027128674,35.45499966361306,41.547650527954104,43.72863630814986,1
